input,cores,chunk_size,run1s1,run1s2,run2s1,run2s2,run3s1,run3s2,run4s1,run4s2,run5s1,run5s2
100000,60,32,6.949317,6.990534,7.008600,7.076607,6.903419,6.911436,6.970164,7.096342,7.135234,6.933530
100000,60,64,7.283988,7.046789,7.206179,7.037146,7.205470,7.025661,7.143555,7.109734,7.223105,7.095429
100000,60,128,7.350034,7.256866,7.362995,7.374882,7.392511,7.330081,7.332170,7.366827,7.329603,7.398583
100000,60,256,7.614572,7.919782,7.600948,7.715617,7.618711,7.682880,7.613752,7.741032,7.530886,7.840760
100000,60,512,8.740129,8.702147,9.056255,8.672333,8.445081,8.709801,8.461308,8.913087,8.861580,8.842625
100000,60,1024,10.986263,10.845745,11.010758,10.776253,10.968837,10.853499,11.175075,11.068529,10.961800,10.987361
100000,60,2048,15.068640,15.299375,15.419938,15.147513,15.164660,15.048969,15.406110,15.295809,15.188616,15.240314
100000,60,4096,27.125448,27.158442,28.942754,30.026704,27.911167,28.780636,27.960796,27.589199,27.714371,27.495550
100000,64,1,6.362247,6.345089,6.350332,6.340669,6.350785,6.354002,6.352143,6.355314,6.343791,6.374676
100000,64,10,6.387783,6.377994,6.415845,6.390747,6.383967,6.380539,6.385447,6.390306,6.389508,6.386205
100000,64,16,6.409612,6.403131,6.418186,6.410859,6.417611,6.393976,6.431732,6.406195,6.391258,6.408500
100000,64,32,6.448558,6.482985,6.451989,6.456927,6.439069,6.470248,6.451159,6.480168,6.435838,6.469138
100000,64,64,6.488488,6.577982,6.487460,6.609450,6.548652,6.572928,6.506206,6.578149,6.527196,6.595133
100000,64,128,6.921363,6.814120,6.901700,6.798830,6.913477,6.824530,6.915574,6.822267,6.929919,6.848169
100000,64,256,7.168200,7.260066,7.148505,7.302437,7.154890,7.230317,7.143994,7.265578,7.163793,7.280451
100000,64,512,7.752765,8.176219,7.702963,8.222511,7.746229,8.153531,7.800546,8.188480,7.761758,8.186930
100000,64,1024,10.532411,10.467337,10.409267,10.426336,10.599179,10.562969,10.504837,10.445627,10.484434,10.463732
100000,64,2048,15.148899,15.676688,15.536921,15.420132,15.271687,15.237471,15.256762,15.400539,15.179054,15.125821
100000,64,4096,29.016724,28.130130,28.853751,28.399170,27.788514,28.236155,30.465033,27.614433,27.520153,28.021886
