input,cores,chunk_size,run1s,run1e,run2s,run2e,run3s,run3e,run4s,run4e,run5s,run5e
30000,2,128,24.16,35.58,24.19,35.61,18.04,35.64,24.21,35.64,23.37,35.59
30000,2,256,17.64,35.39,17.49,35.47,24.63,35.67,24.21,35.41,14.86,35.51
30000,2,512,23.76,35.52,18.17,35.30,18.58,35.37,24.30,35.32,24.85,35.62
30000,2,1024,24.38,35.27,18.59,35.39,24.28,35.32,17.87,35.50,13.97,35.34
30000,2,2048,20.72,37.28,14.92,36.73,24.97,37.07,21.11,37.50,24.38,37.43
30000,2,4096,22.38,36.97,22.41,36.84,25.69,37.02,25.78,36.72,24.55,36.84
30000,4,1,23.61,140.73,23.98,139.14,23.85,137.33,23.85,142.05,23.88,141.30
30000,4,10,9.85,45.62,9.82,45.89,9.78,45.96,9.94,45.85,9.94,45.88
30000,4,16,10.03,41.38,21.60,41.47,10.18,41.38,10.14,41.59,10.20,41.55
30000,4,32,9.93,38.31,9.76,38.33,9.95,38.27,10.27,38.38,10.03,38.38
30000,4,64,9.89,38.12,9.63,37.46,17.12,37.43,9.95,37.58,10.03,37.45
30000,4,128,10.23,37.24,9.88,37.15,10.45,37.20,21.76,37.13,10.16,37.10
30000,4,256,10.18,36.98,9.95,36.93,9.79,37.03,9.88,37.06,9.88,36.98
30000,4,512,10.07,36.85,10.20,36.83,12.75,36.90,9.95,36.84,9.78,36.77
30000,4,1024,9.69,36.79,10.09,36.99,9.84,37.96,9.89,37.57,10.06,36.82
30000,4,2048,10.87,37.41,20.94,37.23,8.40,37.02,10.15,37.25,9.76,37.35
30000,4,4096,17.33,38.73,18.15,38.92,18.81,37.75,9.16,38.86,14.14,38.92
30000,8,1,23.48,297.99,23.66,299.69,23.32,300.16,24.42,299.71,24.26,305.52
30000,8,10,4.56,62.81,18.57,61.74,4.57,62.89,4.57,61.79,15.07,61.73
30000,8,16,4.56,49.23,4.58,49.57,4.57,49.53,4.58,51.09,21.56,49.60
30000,8,32,4.55,41.03,13.07,41.08,4.56,42.66,4.58,41.13,4.58,41.05
